rule_id,fitness,displacement,final_bits,bit_ratio,parents,mutated
rule_071,0.0,0.0,308,0.947692,rule_024xrule_002,False
rule_072,0.0,0.0,156,0.48,rule_024xrule_002,False
rule_073,0.0,0.0,314,0.966154,rule_024xrule_002,False
rule_074,0.0,0.0,140,0.430769,rule_024xrule_002,False
rule_075,0.0,0.0,157,0.483077,rule_024xrule_002,False
rule_076,0.0,0.0,332,1.021538,rule_024xrule_002,False
rule_077,0.0,0.0,325,1.0,rule_024xrule_002,True
rule_078,0.0,0.0,155,0.476923,rule_024xrule_002,True
rule_079,0.0,0.0,144,0.443077,rule_024xrule_002,False
rule_080,0.0,0.0,144,0.443077,rule_024xrule_002,False
rule_081,0.0,0.0,143,0.44,rule_024xrule_002,False
rule_082,0.0,0.0,143,0.44,rule_024xrule_002,False
rule_083,0.0,0.0,140,0.430769,rule_024xrule_002,False
rule_084,0.0,0.0,36,0.110769,rule_024xrule_002,True
rule_085,0.0,0.0,144,0.443077,rule_024xrule_002,False
rule_086,0.46744514,0.482333,267,0.821538,rule_024xrule_002,False
rule_087,0.0,0.0,325,1.0,rule_024xrule_002,False
rule_088,0.0,0.0,305,0.938462,rule_024xrule_002,True
rule_089,0.0,0.0,155,0.476923,rule_024xrule_002,False
rule_090,0.0,0.0,308,0.947692,rule_024xrule_002,False
rule_091,0.0,0.0,144,0.443077,rule_024xrule_002,False
rule_092,0.01979,0.019827,311,0.956923,rule_024xrule_002,False
rule_093,0.0,0.0,156,0.48,rule_024xrule_002,False
rule_094,0.0,0.0,156,0.48,rule_024xrule_002,False
rule_095,0.0,0.0,155,0.476923,rule_024xrule_002,True
rule_096,0.0,0.0,170,0.523077,rule_024xrule_002,False
rule_097,0.0,0.0,312,0.96,rule_024xrule_002,False
rule_098,0.0,0.0,143,0.44,rule_024xrule_002,False
rule_099,0.0,0.0,171,0.526154,rule_024xrule_002,False
