================================================================================
TRAJECTORY LOG -- iter_220 champion rule
Seed: L_TROMINO_3bit at [[63, 63], [64, 63], [64, 64]]
Grid: 128x128, Steps: 500
Rule entries: 12

Rule dictionary:
    2 (0b0000010) -> 66
   16 (0b0010000) -> 80
   38 (0b0100110) -> 102
   39 (0b0100111) -> 103
   52 (0b0110100) -> 116
   60 (0b0111100) -> 124
   66 (0b1000010) -> 2
   70 (0b1000110) -> 6
   71 (0b1000111) -> 7
   80 (0b1010000) -> 16
  112 (0b1110000) -> 48
  120 (0b1111000) -> 56

================================================================================
STEP | CoM_row           | CoM_col           | Active | d_row  | d_col  | Speed
 273 |           60.400000 |           66.600000 |       15 | -0.600000 | +0.600000 | 0.848528
 274 |           60.333333 |           66.666667 |       15 | -0.066667 | +0.066667 | 0.094281
 275 |           60.125000 |           66.875000 |       24 | -0.208333 | +0.208333 | 0.294628
 276 |           60.200000 |           66.800000 |       15 | +0.075000 | -0.075000 | 0.106066
 277 |           59.928571 |           67.071429 |       42 | -0.271429 | +0.271429 | 0.383858
 278 |           59.916667 |           67.083333 |       24 | -0.011905 | +0.011905 | 0.016836
 279 |           59.803922 |           67.196078 |       51 | -0.112745 | +0.112745 | 0.159446
 280 |           59.222222 |           67.777778 |        9 | -0.581699 | +0.581699 | 0.822647
 281 |           58.625000 |           68.375000 |       24 | -0.597222 | +0.597222 | 0.844600
 282 |           58.583333 |           68.416667 |       24 | -0.041667 | +0.041667 | 0.058926
 283 |           58.410256 |           68.589744 |       39 | -0.173077 | +0.173077 | 0.244768
 284 |           59.000000 |           68.000000 |       18 | +0.589744 | -0.589744 | 0.834023
 285 |           58.705882 |           68.294118 |       51 | -0.294118 | +0.294118 | 0.415945
