================================================================================
TRAJECTORY LOG -- iter_220 consistency champion rule
Source JSON: champion_vc_rule_consistency.json
Seed: L_TROMINO_3bit at [(63, 63), (64, 63), (64, 64)]
Grid: 128x128, Steps: 500
Rule entries: 18

Rule dictionary:
    8 (0b0001000) -> 72
   24 (0b0011000) -> 88
   33 (0b0100001) -> 97
   37 (0b0100101) -> 101
   41 (0b0101001) -> 105
   42 (0b0101010) -> 106
   50 (0b0110010) -> 114
   56 (0b0111000) -> 120
   57 (0b0111001) -> 121
   68 (0b1000100) -> 4
   69 (0b1000101) -> 5
   70 (0b1000110) -> 6
   71 (0b1000111) -> 7
   76 (0b1001100) -> 12
   96 (0b1100000) -> 32
  118 (0b1110110) -> 54
  120 (0b1111000) -> 56
  124 (0b1111100) -> 60

================================================================================
STEP | CoM_row_raw | CoM_col_raw | CoM_row_unwrapped | CoM_col_unwrapped | Active | Displacement | Step Velocity
  94 |   63.666667 |   29.333333 |         63.666667 |        157.333333 |      3 |    94.000000 |      1.000000
  95 |   63.666667 |   30.333333 |         63.666667 |        158.333333 |      3 |    95.000000 |      1.000000
  96 |   63.666667 |   31.333333 |         63.666667 |        159.333333 |      3 |    96.000000 |      1.000000
  97 |   63.666667 |   32.333333 |         63.666667 |        160.333333 |      3 |    97.000000 |      1.000000
  98 |   63.666667 |   33.333333 |         63.666667 |        161.333333 |      3 |    98.000000 |      1.000000
  99 |   63.666667 |   34.333333 |         63.666667 |        162.333333 |      3 |    99.000000 |      1.000000
 100 |   63.666667 |   35.333333 |         63.666667 |        163.333333 |      3 |   100.000000 |      1.000000 ***
 101 |   63.666667 |   36.333333 |         63.666667 |        164.333333 |      3 |   101.000000 |      1.000000
 102 |   63.666667 |   37.333333 |         63.666667 |        165.333333 |      3 |   102.000000 |      1.000000
 103 |   63.666667 |   38.333333 |         63.666667 |        166.333333 |      3 |   103.000000 |      1.000000
 104 |   63.666667 |   39.333333 |         63.666667 |        167.333333 |      3 |   104.000000 |      1.000000
 105 |   63.666667 |   40.333333 |         63.666667 |        168.333333 |      3 |   105.000000 |      1.000000
 106 |   63.666667 |   41.333333 |         63.666667 |        169.333333 |      3 |   106.000000 |      1.000000
 107 |   63.666667 |   42.333333 |         63.666667 |        170.333333 |      3 |   107.000000 |      1.000000
 108 |   63.666667 |   43.333333 |         63.666667 |        171.333333 |      3 |   108.000000 |      1.000000
 109 |   63.666667 |   44.333333 |         63.666667 |        172.333333 |      3 |   109.000000 |      1.000000
 110 |   63.666667 |   45.333333 |         63.666667 |        173.333333 |      3 |   110.000000 |      1.000000
 111 |   63.666667 |   46.333333 |         63.666667 |        174.333333 |      3 |   111.000000 |      1.000000
 112 |   63.666667 |   47.333333 |         63.666667 |        175.333333 |      3 |   112.000000 |      1.000000
 113 |   63.666667 |   48.333333 |         63.666667 |        176.333333 |      3 |   113.000000 |      1.000000
 114 |   63.666667 |   49.333333 |         63.666667 |        177.333333 |      3 |   114.000000 |      1.000000
 115 |   63.666667 |   50.333333 |         63.666667 |        178.333333 |      3 |   115.000000 |      1.000000
 116 |   63.666667 |   51.333333 |         63.666667 |        179.333333 |      3 |   116.000000 |      1.000000
 117 |   63.666667 |   52.333333 |         63.666667 |        180.333333 |      3 |   117.000000 |      1.000000
 118 |   63.666667 |   53.333333 |         63.666667 |        181.333333 |      3 |   118.000000 |      1.000000
 119 |   63.666667 |   54.333333 |         63.666667 |        182.333333 |      3 |   119.000000 |      1.000000
 120 |   63.666667 |   55.333333 |         63.666667 |        183.333333 |      3 |   120.000000 |      1.000000
 121 |   63.666667 |   56.333333 |         63.666667 |        184.333333 |      3 |   121.000000 |      1.000000
 122 |   63.666667 |   57.333333 |         63.666667 |        185.333333 |      3 |   122.000000 |      1.000000
 123 |   63.666667 |   58.333333 |         63.666667 |        186.333333 |      3 |   123.000000 |      1.000000
 124 |   63.666667 |   59.333333 |         63.666667 |        187.333333 |      3 |   124.000000 |      1.000000
 125 |   63.666667 |   60.333333 |         63.666667 |        188.333333 |      3 |   125.000000 |      1.000000
 126 |   63.666667 |   61.333333 |         63.666667 |        189.333333 |      3 |   126.000000 |      1.000000
 127 |   63.666667 |   62.333333 |         63.666667 |        190.333333 |      3 |   127.000000 |      1.000000
 128 |   63.666667 |   63.333333 |         63.666667 |        191.333333 |      3 |   128.000000 |      1.000000
 129 |   63.666667 |   64.333333 |         63.666667 |        192.333333 |      3 |   129.000000 |      1.000000
 130 |   63.666667 |   65.333333 |         63.666667 |        193.333333 |      3 |   130.000000 |      1.000000
 131 |   63.666667 |   66.333333 |         63.666667 |        194.333333 |      3 |   131.000000 |      1.000000
 132 |   63.666667 |   67.333333 |         63.666667 |        195.333333 |      3 |   132.000000 |      1.000000
 133 |   63.666667 |   68.333333 |         63.666667 |        196.333333 |      3 |   133.000000 |      1.000000
 134 |   63.666667 |   69.333333 |         63.666667 |        197.333333 |      3 |   134.000000 |      1.000000
 135 |   63.666667 |   70.333333 |         63.666667 |        198.333333 |      3 |   135.000000 |      1.000000
 136 |   63.666667 |   71.333333 |         63.666667 |        199.333333 |      3 |   136.000000 |      1.000000
 137 |   63.666667 |   72.333333 |         63.666667 |        200.333333 |      3 |   137.000000 |      1.000000
 138 |   63.666667 |   73.333333 |         63.666667 |        201.333333 |      3 |   138.000000 |      1.000000
 139 |   63.666667 |   74.333333 |         63.666667 |        202.333333 |      3 |   139.000000 |      1.000000
 140 |   63.666667 |   75.333333 |         63.666667 |        203.333333 |      3 |   140.000000 |      1.000000
 141 |   63.666667 |   76.333333 |         63.666667 |        204.333333 |      3 |   141.000000 |      1.000000
 142 |   63.666667 |   77.333333 |         63.666667 |        205.333333 |      3 |   142.000000 |      1.000000
 143 |   63.666667 |   78.333333 |         63.666667 |        206.333333 |      3 |   143.000000 |      1.000000
