step,com_x,com_y,bit_count
327,63.8000,82.8000,20
328,63.3750,55.8125,16
329,63.6154,71.0769,26
330,63.4286,59.2143,28
331,63.7857,81.8929,28
332,63.2000,44.7000,20
333,63.4545,60.8636,22
334,63.3125,51.8438,32
335,63.8000,82.8000,20
336,63.5000,63.7500,20
337,63.7368,78.7895,38
338,63.5000,63.7500,32
339,63.7727,81.0682,44
340,63.1765,43.2059,34
341,63.5000,63.7500,32
342,63.3200,52.3200,50
343,63.8125,83.5938,32
344,63.4286,59.2143,28
345,63.6800,75.1800,50
346,63.4583,61.1042,48
347,63.7857,81.8929,56
348,63.1053,38.6842,38
349,63.2143,45.6071,28
350,63.1852,43.7593,54
351,63.8571,86.4286,14
352,63.7143,77.3571,14
353,63.8000,82.8000,20
354,63.7273,78.1818,22
355,63.8462,85.7308,26
356,63.5000,63.7500,20
357,63.7273,78.1818,22
358,63.7000,76.4500,40
359,63.8947,88.8158,38
360,63.6154,71.0769,26
361,63.7222,77.8611,36
362,63.6800,75.1800,50
363,63.8800,87.8800,50
364,63.2727,49.3182,22
365,63.5000,63.7500,24
366,63.4211,58.7368,38
367,63.8462,85.7308,26
368,63.6154,71.0769,26
369,63.7727,81.0682,44
370,63.6190,71.3095,42
371,63.8148,83.7407,54
372,63.3000,51.0500,40
373,63.5789,68.7632,38
374,63.5000,63.7500,68
375,63.8800,87.8800,50
376,63.5789,68.7632,38
377,63.7333,78.5667,60
378,63.6286,71.9143,70
379,63.7857,81.8929,56
380,63.1053,38.6842,38
381,63.1538,41.7692,26
382,63.1200,39.6200,50
383,63.6667,74.3333,6
384,63.7143,77.3571,14
385,63.6000,70.1000,10
386,63.6667,74.3333,18
387,63.5000,63.7500,8
388,63.5000,63.7500,20
389,63.6250,71.6875,16
390,63.5714,68.2857,28
391,63.6000,70.1000,10
392,63.6154,71.0769,26
393,63.5455,66.6364,22
394,63.5789,68.7632,38
395,63.4000,57.4000,10
396,63.3846,56.4231,26
397,63.4545,60.8636,22
398,63.4211,58.7368,38
399,63.7143,77.3571,14
400,63.7368,78.7895,38
401,63.6154,71.0769,26
402,63.6800,75.1800,50
403,63.3750,55.8125,16
404,63.3636,55.0909,44
405,63.5000,63.7500,32
406,63.4333,59.5167,60
407,63.6667,74.3333,18
408,63.6800,75.1800,50
409,63.5789,68.7632,38
410,63.6286,71.9143,70
411,63.2500,47.8750,16
412,63.1500,41.5250,40
413,63.3125,51.8438,32
414,63.2143,45.6071,56
415,63.8333,84.9167,12
416,63.8000,82.8000,20
417,63.8000,82.8000,20
418,63.7857,81.8929,28
419,63.7143,77.3571,14
420,63.6154,71.0769,26
421,63.8235,84.2941,34
422,63.7391,78.9348,46
423,63.8000,82.8000,20
424,63.7222,77.8611,36
425,63.7727,81.0682,44
426,63.7333,78.5667,60
427,63.5000,63.7500,12
428,63.4286,59.2143,28
429,63.5714,68.2857,28
430,63.5000,63.7500,44
431,63.8000,82.8000,20
432,63.7727,81.0682,44
433,63.7222,77.8611,36
434,63.7333,78.5667,60
435,63.5455,66.6364,22
436,63.4400,59.9400,50
437,63.6800,75.1800,50
438,63.5641,67.8205,78
439,63.7857,81.8929,28
440,63.7333,78.5667,60
441,63.7333,78.5667,60
442,63.6286,71.9143,70
443,63.2500,47.8750,16
444,63.1053,38.6842,38
445,63.2143,45.6071,28
446,63.0833,37.2917,48
447,63.8333,84.9167,12
448,63.6000,70.1000,10
449,63.7500,79.6250,16
450,63.4000,57.4000,10
451,63.7143,77.3571,14
452,63.5000,63.7500,20
453,63.7273,78.1818,22
454,63.3333,53.1667,18
455,63.8000,82.8000,20
456,63.5455,66.6364,22
457,63.6875,75.6562,32
458,63.2000,44.7000,20
459,63.6250,71.6875,16
460,63.3846,56.4231,26
461,63.5714,68.2857,28
462,63.3125,51.8438,32
463,63.8750,87.5625,32
464,63.6154,71.0769,26
465,63.7727,81.0682,44
466,63.2727,49.3182,22
467,63.6154,71.0769,26
468,63.3636,55.0909,44
469,63.6190,71.3095,42
470,63.2609,48.5652,46
471,63.8500,85.9750,40
472,63.5789,68.7632,38
473,63.7333,78.5667,60
474,63.1333,40.4667,30
475,63.3333,53.1667,18
476,63.2273,46.4318,44
477,63.3529,54.4118,34
478,63.1852,43.7593,54
479,63.8889,88.4444,18
480,63.8000,82.8000,20
481,63.8462,85.7308,26
482,63.6250,71.6875,16
483,63.8000,82.8000,20
484,63.7368,78.7895,38
485,63.8500,85.9750,40
486,63.5714,68.2857,28
487,63.8667,87.0333,30
488,63.7727,81.0682,44
489,63.8148,83.7407,54
490,63.2727,49.3182,22
491,63.6667,74.3333,18
492,63.5000,63.7500,32
493,63.6471,73.0882,34
494,63.4211,58.7368,38
495,63.8947,88.8158,38
496,63.7222,77.8611,36
497,63.8148,83.7407,54
498,63.4286,59.2143,28
499,63.6875,75.6562,32
500,63.5484,66.8226,62
501,63.7333,78.5667,60
502,63.3929,56.9464,56
503,63.8800,87.8800,50
504,63.7333,78.5667,60
505,63.7333,78.5667,60
506,63.1333,40.4667,30
507,63.2500,47.8750,16
508,63.1500,41.5250,40
509,63.1538,41.7692,26
510,63.1852,43.7593,54
511,63.7500,79.6250,8
512,63.7500,79.6250,16
513,63.5000,63.7500,8
514,63.6250,71.6875,16
515,63.7143,77.3571,14
516,63.6154,71.0769,26
517,63.5000,63.7500,12
518,63.5714,68.2857,28
519,63.7500,79.6250,16
520,63.6875,75.6562,32
521,63.2857,50.1429,14
522,63.3846,56.4231,26
523,63.6250,71.6875,16
524,63.5000,63.7500,32
525,63.4545,60.8636,22
526,63.5600,67.5600,50
527,63.8000,82.8000,20
528,63.7727,81.0682,44
529,63.3750,55.8125,16
530,63.5000,63.7500,32
531,63.6154,71.0769,26
532,63.4815,62.5741,54
533,63.4286,59.2143,28
534,63.5000,63.7500,68
535,63.7857,81.8929,28
536,63.7333,78.5667,60
537,63.2000,44.7000,20
538,63.1875,43.9062,32
539,63.4545,60.8636,22
540,63.2609,48.5652,46
541,63.3125,51.8438,32
542,63.2667,48.9333,60
543,63.8889,88.4444,18
544,63.8462,85.7308,26
545,63.7143,77.3571,14
546,63.7273,78.1818,22
547,63.8750,87.5625,32
548,63.7727,81.0682,44
549,63.7273,78.1818,22
550,63.6842,75.4474,38
551,63.8947,88.8158,38
552,63.8148,83.7407,54
553,63.3750,55.8125,16
554,63.4286,59.2143,28
555,63.7273,78.1818,22
556,63.5789,68.7632,38
557,63.5714,68.2857,28
558,63.6071,70.5536,56
559,63.8667,87.0333,30
560,63.8148,83.7407,54
561,63.5455,66.6364,22
562,63.5789,68.7632,38
563,63.7727,81.0682,44
564,63.6111,70.8056,72
565,63.5789,68.7632,38
566,63.5641,67.8205,78
567,63.8800,87.8800,50
568,63.7333,78.5667,60
569,63.2000,44.7000,20
570,63.1333,40.4667,30
571,63.3333,53.1667,18
572,63.1053,38.6842,38
573,63.3125,51.8438,32
574,63.1200,39.6200,50
575,63.8571,86.4286,14
576,63.5000,63.7500,8
577,63.7143,77.3571,14
578,63.6250,71.6875,16
579,63.8000,82.8000,20
