step,CoM_x,CoM_y,bit_count,state_hash
208,63.333333,64.333333,3,418cf1275861566f
209,63.333333,64.000000,3,a2aed0ec9e5aa2d8
210,63.666667,63.666667,3,44d3ed4deb4ac7b8
211,63.666667,64.000000,3,f067db67410ca6a5
212,63.333333,64.333333,3,418cf1275861566f
213,63.333333,64.000000,3,a2aed0ec9e5aa2d8
214,63.666667,63.666667,3,44d3ed4deb4ac7b8
215,63.666667,64.000000,3,f067db67410ca6a5
216,63.333333,64.333333,3,418cf1275861566f
217,63.333333,64.000000,3,a2aed0ec9e5aa2d8
218,63.666667,63.666667,3,44d3ed4deb4ac7b8
219,63.666667,64.000000,3,f067db67410ca6a5
220,63.333333,64.333333,3,418cf1275861566f
221,63.333333,64.000000,3,a2aed0ec9e5aa2d8
222,63.666667,63.666667,3,44d3ed4deb4ac7b8
223,63.666667,64.000000,3,f067db67410ca6a5
224,63.333333,64.333333,3,418cf1275861566f
225,63.333333,64.000000,3,a2aed0ec9e5aa2d8
226,63.666667,63.666667,3,44d3ed4deb4ac7b8
227,63.666667,64.000000,3,f067db67410ca6a5
228,63.333333,64.333333,3,418cf1275861566f
229,63.333333,64.000000,3,a2aed0ec9e5aa2d8
230,63.666667,63.666667,3,44d3ed4deb4ac7b8
231,63.666667,64.000000,3,f067db67410ca6a5
232,63.333333,64.333333,3,418cf1275861566f
233,63.333333,64.000000,3,a2aed0ec9e5aa2d8
234,63.666667,63.666667,3,44d3ed4deb4ac7b8
235,63.666667,64.000000,3,f067db67410ca6a5
236,63.333333,64.333333,3,418cf1275861566f
237,63.333333,64.000000,3,a2aed0ec9e5aa2d8
238,63.666667,63.666667,3,44d3ed4deb4ac7b8
239,63.666667,64.000000,3,f067db67410ca6a5
240,63.333333,64.333333,3,418cf1275861566f
241,63.333333,64.000000,3,a2aed0ec9e5aa2d8
242,63.666667,63.666667,3,44d3ed4deb4ac7b8
243,63.666667,64.000000,3,f067db67410ca6a5
244,63.333333,64.333333,3,418cf1275861566f
245,63.333333,64.000000,3,a2aed0ec9e5aa2d8
246,63.666667,63.666667,3,44d3ed4deb4ac7b8
247,63.666667,64.000000,3,f067db67410ca6a5
248,63.333333,64.333333,3,418cf1275861566f
249,63.333333,64.000000,3,a2aed0ec9e5aa2d8
250,63.666667,63.666667,3,44d3ed4deb4ac7b8
251,63.666667,64.000000,3,f067db67410ca6a5
252,63.333333,64.333333,3,418cf1275861566f
253,63.333333,64.000000,3,a2aed0ec9e5aa2d8
