step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
64,16,ok,39.250,20.946,52.077,10.0936,9.3596,17.9521,45.000,28.000,51.000,9.1638,1,32.000,23.500,56.167,8.7066,6,32.000,16.286,48.143,9.4745,7,48.000,16.000,53.000,10.0936,2
65,16,ok,35.988,20.655,53.845,11.1473,7.5944,16.4520,47.000,19.000,53.333,11.1473,3,32.333,21.667,56.667,4.7267,3,32.286,16.286,48.714,7.6891,7,32.333,25.667,56.667,6.8145,3
66,16,ok,40.321,18.839,53.327,11.2920,9.9869,20.2615,32.286,15.857,49.143,9.5381,7,32.500,23.500,57.167,9.8811,6,47.500,24.000,56.000,9.2362,2,49.000,12.000,51.000,11.2920,1
67,16,ok,36.476,20.381,55.095,11.6087,7.7751,16.7531,32.571,15.857,49.714,8.0416,7,32.667,25.333,57.667,6.7565,3,32.667,21.333,57.667,4.6938,3,48.000,19.000,55.333,11.6087,3
68,16,ok,41.125,18.946,54.827,11.4174,10.1368,19.5945,33.000,16.286,50.143,9.7488,7,33.000,23.500,58.167,9.8945,6,50.000,12.000,53.000,11.4174,1,48.500,24.000,58.000,9.4866,2
69,16,ok,40.905,20.488,55.845,10.8391,9.6360,18.1884,47.000,27.000,56.000,8.9208,1,33.286,16.286,50.714,10.1013,7,50.000,15.000,58.000,10.8391,2,33.333,23.667,58.667,8.6828,6
70,16,ok,37.521,18.667,54.917,13.0070,8.4932,18.2757,33.333,13.667,50.667,7.7844,3,50.000,20.000,58.333,13.0070,3,33.500,23.500,59.167,7.5889,6,33.250,17.500,51.500,5.5924,4
71,16,ok,42.104,21.146,50.479,16.3265,12.2612,19.6135,35.750,15.250,52.250,8.8472,8,51.000,19.000,32.000,16.3265,1,33.667,23.333,59.667,12.6644,6,48.000,27.000,58.000,11.2069,1
72,16,ok,42.625,19.946,50.827,16.9928,12.5766,19.3676,50.500,20.000,58.000,10.6520,2,34.000,16.286,52.143,9.4616,7,52.000,20.000,33.000,16.9928,1,34.000,23.500,60.167,13.2000,6
73,16,ok,42.405,20.488,54.845,14.1572,11.1492,22.2636,34.286,16.286,52.714,9.3872,7,52.000,15.000,46.000,14.1572,2,34.333,23.667,60.667,10.4470,6,49.000,27.000,60.000,10.6054,1
74,16,ok,43.321,19.839,52.327,17.5780,12.9287,19.6391,34.286,15.857,53.143,9.9079,7,53.000,20.000,35.000,17.5780,1,51.500,20.000,60.000,11.2153,2,34.500,23.500,61.167,13.0135,6
75,16,ok,43.435,19.298,53.095,17.7127,12.8615,19.9535,34.667,23.333,61.667,12.9086,6,51.500,19.000,61.000,11.2972,2,53.000,19.000,36.000,17.7127,1,34.571,15.857,53.714,9.5276,7
76,16,ok,43.517,19.700,53.558,14.9856,12.3004,20.1136,44.500,22.000,34.500,13.1812,2,34.900,17.800,56.400,9.2700,10,40.667,27.000,62.333,11.7649,3,54.000,12.000,61.000,14.9856,1
77,16,ok,40.131,21.556,46.256,16.7861,15.0436,20.1258,37.625,15.625,55.625,11.3681,8,35.400,23.600,62.400,16.6728,5,35.000,24.000,32.000,15.3474,1,52.500,23.000,35.000,16.7861,2
78,16,ok,44.837,19.106,38.600,17.6419,13.7718,19.6838,35.250,16.625,56.000,17.6419,8,35.600,23.800,31.400,12.6176,5,53.500,24.000,36.000,10.2834,2,55.000,12.000,31.000,14.5442,1
79,16,ok,44.935,18.298,31.095,12.4655,11.6538,20.6285,35.667,23.333,31.667,10.5631,6,55.000,11.000,32.000,12.4655,1,53.500,23.000,37.000,11.4169,2,35.571,15.857,23.714,12.1697,7
80,16,ok,45.625,18.946,31.827,12.6005,11.9319,20.8274,36.000,16.286,24.143,12.6005,7,56.000,12.000,33.000,12.5407,1,54.500,24.000,38.000,11.9334,2,36.000,23.500,32.167,10.6532,6
81,16,ok,40.979,18.979,29.833,15.9008,9.6336,18.7146,55.000,19.000,37.333,15.9008,3,36.333,23.667,32.667,7.1822,6,36.333,19.000,24.333,7.1996,3,36.250,14.250,25.000,8.2517,4
82,16,ok,31.321,18.000,34.214,11.0068,10.0411,18.5769,39.000,24.143,33.714,9.8461,7,25.000,20.000,43.000,11.0068,1,36.286,15.857,25.143,10.5606,7,25.000,12.000,35.000,8.7509,1
