step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
104,12,ok,37.667,18.131,49.179,13.7461,11.2534,18.6589,42.000,16.143,36.286,13.7461,7,36.000,12.000,57.000,10.0768,1,35.000,26.250,54.250,9.9373,4
105,12,ok,37.845,17.679,49.988,14.0660,11.5456,17.8986,42.286,16.286,36.714,14.0660,7,35.250,25.750,55.250,9.9785,4,36.000,11.000,58.000,10.5924,1
106,12,ok,40.344,18.272,43.739,14.6309,9.8960,16.5280,36.200,23.400,56.800,14.6309,5,42.500,17.750,37.750,6.3864,4,42.333,13.667,36.667,8.6708,3
107,12,ok,38.200,18.000,33.100,10.5262,9.0784,17.6366,40.600,19.000,43.300,10.5262,10,37.000,24.000,28.000,7.9656,1,37.000,11.000,28.000,8.7436,1
108,12,ok,39.333,18.131,31.179,9.7803,8.2209,16.8230,43.000,16.143,38.286,8.2407,7,37.000,26.250,26.250,9.7803,4,38.000,12.000,29.000,6.6417,1
109,12,ok,40.706,18.561,33.906,10.3883,7.5027,16.4425,37.250,25.750,27.250,10.3883,4,43.200,17.600,38.800,5.5769,5,41.667,12.333,35.667,6.5430,3
110,12,ok,41.571,18.083,35.131,11.2604,7.5681,18.8315,44.000,12.000,39.000,7.6075,1,38.000,26.250,28.250,11.2604,4,42.714,16.000,38.143,3.8364,7
111,12,ok,40.274,17.536,33.655,9.5379,7.8330,15.3521,39.000,11.000,32.000,6.8612,1,43.571,15.857,39.714,7.1000,7,38.250,25.750,29.250,9.5379,4
112,12,ok,41.000,18.131,34.512,9.3852,7.5274,15.0954,40.000,12.000,33.000,6.3933,1,44.000,16.143,40.286,6.8036,7,39.000,26.250,30.250,9.3852,4
113,12,ok,42.328,19.450,37.061,9.1067,6.4792,15.3156,39.250,25.750,31.250,9.1067,4,43.400,13.600,39.600,6.4667,5,44.333,19.000,40.333,3.8642,3
114,12,ok,41.333,22.667,35.000,9.4192,6.4843,15.8588,40.500,26.000,34.500,3.4721,2,44.000,15.500,40.500,9.4192,8,39.500,26.500,30.000,6.5617,2
115,12,ok,41.940,17.536,36.988,9.1818,7.1740,15.0229,41.000,11.000,36.000,6.6766,1,44.571,15.857,41.714,5.6636,7,40.250,25.750,33.250,9.1818,4
116,12,ok,42.667,18.131,37.845,9.0345,6.8850,14.5473,45.000,16.143,42.286,5.3958,7,41.000,26.250,34.250,9.0345,4,42.000,12.000,37.000,6.2247,1
117,12,ok,42.845,17.679,38.655,8.9042,6.8683,15.0229,42.000,11.000,38.000,6.7636,1,41.250,25.750,35.250,8.9042,4,45.286,16.286,42.714,4.9372,7
118,12,ok,44.083,19.083,40.583,8.6301,6.1109,14.3810,45.500,17.750,43.750,3.7165,4,44.750,13.250,41.750,5.9861,4,42.000,26.250,36.250,8.6301,4
119,12,ok,44.250,18.750,41.250,8.3066,5.8351,14.3810,42.250,25.750,37.250,8.3066,4,45.000,12.750,42.750,6.2300,4,45.500,17.750,43.750,2.9686,4
120,12,ok,44.833,19.167,42.000,8.2218,5.9031,14.2544,45.250,13.000,43.000,6.2611,4,43.000,26.250,38.250,8.2218,4,46.250,18.250,44.750,3.2264,4
121,12,ok,44.167,22.417,40.917,7.6757,5.5220,12.6442,46.000,15.750,44.250,7.6757,8,44.000,26.000,41.500,3.6343,2,42.500,25.500,37.000,5.2559,2
122,12,ok,45.356,18.594,43.172,8.3057,5.8607,14.4265,45.667,12.333,43.667,6.2883,3,44.000,26.250,40.250,8.3057,4,46.400,17.200,45.600,2.9882,5
123,12,ok,45.667,18.833,44.000,7.5769,5.2482,13.4397,46.250,13.000,45.000,5.9471,4,44.250,25.750,41.250,7.5769,4,46.500,17.750,45.750,2.2205,4
