step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
47,12,ok,38.406,43.511,-6.272,13.4859,10.8747,7.5077,38.667,32.333,-6.667,11.1878,3,38.800,62.200,-8.400,13.4859,5,37.750,36.000,-3.750,7.9504,4
48,12,ok,39.167,33.667,-6.667,4.3205,2.8987,7.8740,39.500,33.000,-7.000,0.8165,4,38.500,37.000,-4.000,4.3205,4,39.500,31.000,-9.000,3.5590,4
49,12,ok,39.417,34.667,-7.417,4.3205,2.8987,7.8740,39.750,34.000,-7.750,0.8165,4,38.750,38.000,-4.750,4.3205,4,39.750,32.000,-9.750,3.5590,4
50,12,ok,40.167,35.667,-7.667,4.3205,2.8987,7.8740,40.500,33.000,-10.000,3.5590,4,39.500,39.000,-5.000,4.3205,4,40.500,35.000,-8.000,0.8165,4
51,12,ok,40.417,36.667,-8.417,4.3205,2.8987,7.8740,40.750,34.000,-10.750,3.5590,4,40.750,36.000,-8.750,0.8165,4,39.750,40.000,-5.750,4.3205,4
52,12,ok,41.167,37.667,-8.667,4.3205,2.8987,7.8740,40.500,41.000,-6.000,4.3205,4,41.500,35.000,-11.000,3.5590,4,41.500,37.000,-9.000,0.8165,4
53,12,ok,41.417,38.667,-9.417,4.3205,2.8987,7.8740,40.750,42.000,-6.750,4.3205,4,41.750,38.000,-9.750,0.8165,4,41.750,36.000,-11.750,3.5590,4
54,12,ok,42.167,39.667,-9.667,4.3205,2.8987,7.8740,41.500,43.000,-7.000,4.3205,4,42.500,37.000,-12.000,3.5590,4,42.500,39.000,-10.000,0.8165,4
55,12,ok,42.417,40.667,-10.417,4.3205,2.8987,7.8740,42.750,40.000,-10.750,0.8165,4,42.750,38.000,-12.750,3.5590,4,41.750,44.000,-7.750,4.3205,4
56,12,ok,43.167,41.667,-10.667,4.3205,2.8987,7.8740,42.500,45.000,-8.000,4.3205,4,43.500,39.000,-13.000,3.5590,4,43.500,41.000,-11.000,0.8165,4
57,12,ok,43.417,42.667,-11.417,4.3205,2.8987,7.8740,43.750,40.000,-13.750,3.5590,4,42.750,46.000,-8.750,4.3205,4,43.750,42.000,-11.750,0.8165,4
58,12,ok,44.167,43.667,-11.667,4.3205,2.8987,7.8740,43.500,47.000,-9.000,4.3205,4,44.500,41.000,-14.000,3.5590,4,44.500,43.000,-12.000,0.8165,4
59,12,ok,44.417,44.667,-12.417,4.3205,2.8987,7.8740,44.750,42.000,-14.750,3.5590,4,43.750,48.000,-9.750,4.3205,4,44.750,44.000,-12.750,0.8165,4
60,12,ok,45.167,45.667,-12.667,4.3205,2.8987,7.8740,44.500,49.000,-10.000,4.3205,4,45.500,43.000,-15.000,3.5590,4,45.500,45.000,-13.000,0.8165,4
61,12,ok,45.417,46.667,-13.417,4.3205,2.8987,7.8740,45.750,46.000,-13.750,0.8165,4,44.750,50.000,-10.750,4.3205,4,45.750,44.000,-15.750,3.5590,4
62,12,ok,46.167,47.667,-13.667,4.3205,2.8987,7.8740,46.500,45.000,-16.000,3.5590,4,45.500,51.000,-11.000,4.3205,4,46.500,47.000,-14.000,0.8165,4
63,12,ok,46.417,48.667,-14.417,4.3205,2.8987,7.8740,46.750,48.000,-14.750,0.8165,4,46.750,46.000,-16.750,3.5590,4,45.750,52.000,-11.750,4.3205,4
64,12,ok,46.833,51.333,-13.333,4.3205,2.9257,6.9642,47.000,52.500,-12.000,1.7795,2,47.500,48.000,-16.000,4.3205,8,46.000,53.500,-12.000,2.6771,2
65,12,ok,47.417,50.667,-15.417,4.3205,2.8987,7.8740,47.750,50.000,-15.750,0.8165,4,46.750,54.000,-12.750,4.3205,4,47.750,48.000,-17.750,3.5590,4
66,12,ok,48.167,51.667,-15.667,4.3205,2.8987,7.8740,47.500,55.000,-13.000,4.3205,4,48.500,49.000,-18.000,3.5590,4,48.500,51.000,-16.000,0.8165,4
67,12,ok,48.417,52.667,-16.417,4.3205,2.8987,7.8740,47.750,56.000,-13.750,4.3205,4,48.750,50.000,-18.750,3.5590,4,48.750,52.000,-16.750,0.8165,4
