step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
43,16,ok,37.271,21.438,32.771,8.2824,4.8646,13.5675,37.250,15.750,26.750,8.2824,8,37.000,23.000,35.000,2.7357,3,37.333,27.000,34.333,5.7781,3,37.500,20.000,35.000,2.6624,2
44,16,ok,37.500,19.250,31.750,7.6322,5.9521,15.2643,37.500,20.750,35.750,4.2720,4,37.500,17.750,27.750,4.2720,4,37.500,25.750,35.750,7.6322,4,37.500,12.750,27.750,7.6322,4
45,16,ok,38.208,17.062,30.958,8.8469,5.4091,14.4287,38.000,11.000,30.000,6.1413,1,38.250,14.500,28.750,3.3830,4,38.250,23.750,36.750,8.8469,8,38.333,19.000,28.333,3.2650,3
46,16,ok,38.500,19.250,33.750,7.6322,5.9521,15.2643,38.500,25.750,37.750,7.6322,4,38.500,12.750,29.750,7.6322,4,38.500,20.750,37.750,4.2720,4,38.500,17.750,29.750,4.2720,4
47,16,ok,39.208,17.062,32.958,8.8469,5.4091,14.4287,39.333,19.000,30.333,3.2650,3,39.250,23.750,38.750,8.8469,8,39.000,11.000,32.000,6.1413,1,39.250,14.500,30.750,3.3830,4
48,16,ok,39.500,19.250,35.750,7.6322,5.9521,15.2643,39.500,17.750,31.750,4.2720,4,39.500,25.750,39.750,7.6322,4,39.500,20.750,39.750,4.2720,4,39.500,12.750,31.750,7.6322,4
49,16,ok,40.250,19.750,36.750,7.6322,5.9521,15.2643,40.250,21.250,40.750,4.2720,4,40.250,26.250,40.750,7.6322,4,40.250,13.250,32.750,7.6322,4,40.250,18.250,32.750,4.2720,4
50,16,ok,40.500,19.250,37.750,7.6322,5.9521,15.2643,40.500,20.750,41.750,4.2720,4,40.500,12.750,33.750,7.6322,4,40.500,17.750,33.750,4.2720,4,40.500,25.750,41.750,7.6322,4
51,16,ok,41.250,19.750,38.750,7.6322,5.9521,15.2643,41.250,21.250,42.750,4.2720,4,41.250,26.250,42.750,7.6322,4,41.250,18.250,34.750,4.2720,4,41.250,13.250,34.750,7.6322,4
52,16,ok,41.583,16.500,37.958,8.8945,5.1088,13.2639,42.000,12.000,37.000,4.6197,1,41.500,23.250,43.750,8.8945,8,41.500,17.750,35.750,2.5389,4,41.333,13.000,35.333,4.3821,3
53,16,ok,42.258,20.075,40.708,7.3801,5.8460,14.6652,42.200,13.800,37.000,7.2891,5,42.250,26.250,44.750,7.3801,4,42.250,21.250,44.750,4.2090,4,42.333,19.000,36.333,4.5058,3
54,16,ok,42.500,19.250,41.750,7.6322,5.9521,15.2643,42.500,12.750,37.750,7.6322,4,42.500,20.750,45.750,4.2720,4,42.500,25.750,45.750,7.6322,4,42.500,17.750,37.750,4.2720,4
55,16,ok,43.229,21.729,44.812,8.5150,4.8420,13.5675,43.333,27.000,46.333,5.4868,3,43.250,15.750,38.750,8.5150,8,43.000,23.500,47.500,3.2266,2,43.333,20.667,46.667,2.1396,3
56,16,ok,43.500,19.250,43.750,7.6322,5.9521,15.2643,43.500,12.750,39.750,7.6322,4,43.500,25.750,47.750,7.6322,4,43.500,20.750,47.750,4.2720,4,43.500,17.750,39.750,4.2720,4
57,16,ok,44.258,20.075,44.708,7.3801,5.8460,14.6652,44.250,26.250,48.750,7.3801,4,44.200,13.800,41.000,7.2891,5,44.250,21.250,48.750,4.2090,4,44.333,19.000,40.333,4.5058,3
58,16,ok,44.500,19.250,45.750,7.6322,5.9521,15.2643,44.500,17.750,41.750,4.2720,4,44.500,20.750,49.750,4.2720,4,44.500,25.750,49.750,7.6322,4,44.500,12.750,41.750,7.6322,4
59,16,ok,45.267,20.400,46.667,7.5504,6.0524,15.1008,45.333,19.000,42.333,4.5544,3,45.333,27.000,50.333,7.5504,3,45.200,21.800,51.000,4.5544,5,45.200,13.800,43.000,7.5504,5
60,16,ok,45.500,20.625,49.750,8.0555,4.3971,13.2004,45.500,15.250,43.750,8.0555,8,45.500,21.000,52.500,2.7755,2,45.500,20.500,51.000,1.2562,2,45.500,25.750,51.750,5.5014,4
61,16,ok,46.250,19.750,48.750,7.6322,5.9521,15.2643,46.250,21.250,52.750,4.2720,4,46.250,18.250,44.750,4.2720,4,46.250,13.250,44.750,7.6322,4,46.250,26.250,52.750,7.6322,4
62,16,ok,46.500,19.250,49.750,7.6322,5.9521,15.2643,46.500,25.750,53.750,7.6322,4,46.500,17.750,45.750,4.2720,4,46.500,20.750,53.750,4.2720,4,46.500,12.750,45.750,7.6322,4
63,16,ok,47.208,17.062,48.958,8.8469,5.4091,14.4287,47.333,19.000,46.333,3.2650,3,47.250,23.750,54.750,8.8469,8,47.000,11.000,48.000,6.1413,1,47.250,14.500,46.750,3.3830,4
64,16,ok,47.500,19.250,51.750,7.6322,5.9521,15.2643,47.500,12.750,47.750,7.6322,4,47.500,25.750,55.750,7.6322,4,47.500,17.750,47.750,4.2720,4,47.500,20.750,55.750,4.2720,4
65,16,ok,48.250,19.750,52.750,7.6322,5.9521,15.2643,48.250,26.250,56.750,7.6322,4,48.250,13.250,48.750,7.6322,4,48.250,21.250,56.750,4.2720,4,48.250,18.250,48.750,4.2720,4
66,16,ok,48.500,19.250,53.750,7.6322,5.9521,15.2643,48.500,12.750,49.750,7.6322,4,48.500,20.750,57.750,4.2720,4,48.500,25.750,57.750,7.6322,4,48.500,17.750,49.750,4.2720,4
67,16,ok,49.258,20.075,54.708,7.3801,5.8460,14.6652,49.200,13.800,51.000,7.2891,5,49.250,26.250,58.750,7.3801,4,49.333,19.000,50.333,4.5058,3,49.250,21.250,58.750,4.2090,4
68,16,ok,49.500,19.250,55.750,7.6322,5.9521,15.2643,49.500,17.750,51.750,4.2720,4,49.500,20.750,59.750,4.2720,4,49.500,12.750,51.750,7.6322,4,49.500,25.750,59.750,7.6322,4
